TIME,SEGMENT_ID,SPEED,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH,STREET_HEADING,COMMENTS,BUS_COUNT,MESSAGE_COUNT,HOUR,DAY_OF_WEEK,MONTH,RECORD_ID,START_LATITUDE,START_LONGITUDE,END_LATITUDE,END_LONGITUDE,START_LOCATION,END_LOCATION,Community Areas,Zip Codes,Wards
08/27/2018 08:31:39 AM,1132,41,Cicero,SB,31st,Pershing,1.01,S,Outside City Limits,1,10,8,2,8,1132-201808271331,41.8367473974,-87.7439318058,41.8221415535,-87.7437722696,POINT (-87.7439318058 41.8367473974),POINT (-87.7437722696 41.8221415535),,4458,
08/27/2018 08:31:39 AM,1133,31,Cicero,SB,Cermak,31st,1.00,S,Outside City Limits,3,19,8,2,8,1133-201808271331,41.8512451897,-87.7444337191,41.8367473974,-87.7439318058,POINT (-87.7444337191 41.8512451897),POINT (-87.7439318058 41.8367473974),,4458,
08/27/2018 08:31:39 AM,1134,18,Cicero,SB,Roosevelt,Cermak,1.02,S,Outside City Limits,1,9,8,2,8,1134-201808271331,41.8659627382,-87.7449852043,41.8512451897,-87.7444337191,POINT (-87.7449852043 41.8659627382),POINT (-87.7444337191 41.8512451897),26,22216,7
08/27/2018 08:31:39 AM,1151,27,Harlem,NB,Madison,Chicago,1.01,S,Outside City Limits,1,3,8,2,8,1151-201808271331,41.8796992839,-87.8045488066,41.8942683013,-87.8051007941,POINT (-87.8045488066 41.8796992839),POINT (-87.8051007941 41.8942683013),,26615,
08/27/2018 08:31:39 AM,1152,37,Harlem,NB,Chicago,North Ave,1.01,N,Outside City Limits,1,11,8,2,8,1152-201808271331,41.8942683013,-87.8051007941,41.9088560337,-87.8055536529,POINT (-87.8051007941 41.8942683013),POINT (-87.8055536529 41.9088560337),,26615,
08/27/2018 08:31:39 AM,1153,31,Harlem,NB,Forest Preserve Ave,Gunnison,1.00,N,Outside City Limits,1,11,8,2,8,1153-201808271331,41.9538138239,-87.8071497455,41.9683436725,-87.8069823878,POINT (-87.8071497455 41.9538138239),POINT (-87.8069823878 41.9683436725),17,22254,19
08/27/2018 08:31:39 AM,1184,26,Sheridan,NB,Pratt,Touhy,0.52,N,,1,13,8,2,8,1184-201808271331,42.0055389804,-87.6607357537,42.0128288601,-87.6632694105,POINT (-87.6607357537 42.0055389804),POINT (-87.6632694105 42.0128288601),10,21853,5
08/27/2018 08:31:39 AM,1185,27,Broadway,SB,Devon,Hollywood,0.88,N,,2,20,8,2,8,1185-201808271331,41.9982097226,-87.6605728465,41.9854635087,-87.6603094445,POINT (-87.6605728465 41.9982097226),POINT (-87.6603094445 41.9854635087),10,21853,5
08/27/2018 08:31:39 AM,1186,19,Sheridan,SB,Pratt,Devon,0.52,N,,3,20,8,2,8,1186-201808271331,42.0055411356,-87.6611036606,41.9982097226,-87.6605728465,POINT (-87.6611036606 42.0055411356),POINT (-87.6605728465 41.9982097226),10,21853,5
08/27/2018 08:31:39 AM,1187,-1,Sheridan,SB,Touhy,Pratt,0.52,N,,2,4,8,2,8,1187-201808271331,42.0128310075,-87.6636373596,42.0055411356,-87.6611036606,POINT (-87.6636373596 42.0128310075),POINT (-87.6611036606 42.0055411356),10,21853,5
